IncidentID,Text,Class
0,the the guiana what one would like to your margin think a lot into and out in full armor and helen paw and what the problem lamp and my little boy cabrini he'd hit a few breathing now the indicted thank you wanted he i'd handle it i'm hoping to match what did kill it and he then had to beat the odds are in a while and then we could talk i counted out the door when you look at the african american problem doctor they haven't had a medical problem to the old kid that not all of that now for a complete and to hear that could union and don't come in and what i worry how has the higher the high and among our what color are,High
0,one american people who get food and who the hu could one evening he will have to continue to hope for in a delicate on her campaign when he began to her when quickly and quietly when i get why can't the behead him he got into the hand in it elegant what you heard that the kick the can for the book the book at who you pay the white and the creep into her head coach at copenhagen think ahead but actually i had a pretty will help he and i get the kennedy died in a moment he known to heal the phone with the bill the hadn't been deeply didn't count them to drive in need of the d. one can get the middle of the street okay but why did he say the one you've not been completed yet cartel,High
0,the hook that and maybe the mule and hunger and cotton to what i should and am not occur when alcohol are wary of their cotton climate will knock on the white world but little hour you had no real hunger and i do to look and hope new york piled kirkland let anyone tell what polite who you really the poet well and what i'd like if i employ i'll go ahead don't think they had a cut in the it got a high five p. m. emblem the i'd grab their adele,High
0,in england want weren't be her clone the one in homecoming to hang up what shall i come uncle and lend them and we're going home and one link in a bag caught but you got it all in the moment i'm him to plant the who'd had robbed at out off of it the all what hood we ought to let this what i can get tipped it on can turn on her up one when the back room i'm glad it worked at you and who are you the truck thing i got thought helpless to up the good get him out hotel when dangling and you go and do about it all you looked at me like you who,High
0,ugh and that is i hide it has the has he done to get mad wasn't ai the it to really but would good at and and a lot to hide and an end got caught ad lot either cotton catalogs and up and what hey pleasure had to delay and in the end i he who then what good it up the hat right now hi lou it had on that unlocked and good hit had gotten out to have added to pay,High
0,to a lot going one on one hundred and we at one oh how to talk to and where to go it worked for one who quit out in and that the elegantly of the i don't i didn't go on i it you don't like gary graham what hey i think it could be imprinted in the garden of black and we don't want to old you are at the home from the one i don't feel like the howard hunt who didn't and while you're pregnant at who come on and ringo had won forty three hundred i'm eileen well know where he had on what has been the department of agriculture all right behind you finally he heal the lower and the and i i and i were good at it won't even in the line at him there and go right now in the reagan and when what the,High
0,and the scowl at least ten at night and use them use the house lights blazing has turned out to and you don't look hurt create the creative were heard what had that had had with what and the let a return and and looked her it and had a little and it needs me ask and using what ought eat eight may be active and use it caught him and his new said he to haiti and the acid that what all and look what it a muse and and as to what happened and you you have at it and did not ruin it at all and yet,High
0,the good plan and a mother with a headed in the war and long life death of the white hirohito what we're at the unholy go and hide it what what he had the good one eight he won won all eight the woodley aho to hit the high and yet come up and you could be headed on an don't alert and yet at white who a a week and at year at the lead in here and hold the right of a pa at what it by the head right where i could aware he laid out what the how the hot in here that a will,High
0,and you'd go hate to think it played because it so i we have to act out of your wallet in a clutch rail i like it or leave the real king calling island in the young girl your little bugger you did not evacuate you'll need to not a and it had the dead and he had any kind and i i have not heard anybody at that harry i okay that are to have adhered to beat out help the area the compound would call the cling to help where are you taking cleaned and girder it a clerk at the hilltop built up during the the withdrew the actual here yet dirt israel and you get it all i want and that kind of worried i can't be taken at an angle on and be the d.,High
0,pilfered the total one with good to he added i want to have got okay what about an equal and kamehameha with the red coming back in one hand there it to the and when that we had called on planning it up and i lay on and i would on the lenhart the sofa and at that will help comment le pen and now go hang out and it i knew it couldn't have been mapped the food without water hole with a path and her husband food and get tokyo why he did he,High
0,the letter that i wanna learn to step in fact i'm headed of your problem on well they're not burned our big ahmed combo round the the the open up and bug i'm the mob will help and the woman and got an goal and called for and pop hundred fifty eight he had added a lot about two gamal by war but in that bomb at cole large co opted to court and mark that woman in the power of the common and your do human heart home and polluted and the to opt to obey him and he should let him that he got on the wall of the hopped up a pair of eyes and,High
0,you had the title you held theory but the the while no i ha i know i t. battery mean pecuniary on a prayer or not at all i'd like i'd owe a lot i i i can write our at our plateau at that now what am i am career as a lawyer and it go at the iowa and handling it eat i need a bloodhound tonight and you want but i would like you believe we should have don't let anyone would you blakely could have called the town where aladdin,High
0,but what i'm why what i'll do that of the work that is he likely have labored under the law of one hundred a month it and why and what happened in now to him but have got rid of the humans and i got everything that occurred he didn't like the interim okay they will begin to what the no known motive on that and i paid one shot to swallow it up to bring the for you to run like hell for the kid that what will be in your home and when the home of glared at him hit him bottom line not been laying down,High
0,the are of the and had only humidity on our lucky i'm happy that the holy hundred per woodward who you do what when ronald morton and the murder english be totally wrong for the young what he on my guard delivered by a point about road vendetta don't play till we all ought or you'd are the out i mourn her a deterrent at what edgy learned about the hood it and had a great and our baby and he can have a v. on good element that we are in the car back gate and completely down the aisle entered,High
0,mind you you have been between fourteen forty one theory you read and what one nine one one added to the land and take the whole twenty worldly hood he didn't put one million poor and i can't understand that in the whole plan to invite grin like a collar or are what autonomy you're telling me how do you want to have a lot happier and in her home to die young barahona who control the unholy alliance and to and gregg jarrett on when and how and found dead okay who patio i'd get our,High
0,one word you can even putting food that part of the island and that led him had act and then it could to do that that could happen what he did and i i i added and land that has added to the good and i had that could good to good use bad,High
