IncidentID,Text,Class
0,Central 911 West location care emergency 1110 Felton Farm Road Felton Farm Road what's the problem am I little boys breathing is breathing now okay do you want to do CPR do you know how to do it Tupac does he have any kind of medical problems so he does not what was happening before he stopped breathing come on okay where are y'all at sir are y'all at the house hello ,High
0,111 emergency okay what is the address give me the address mama jokes baby puppy surprise how far is the drive okay I'm going to get the paramedics started just a moment hang on the phone with me up in the middle of the street okay but what is the what's the name of the apartment complex ,High
0,"Sorry, we were out the window. Where are you in front of the high school lesson once I want ice cream? Hello. Hello in front of what high school frederick something in your hand in front of Barrett. ",High
0,Phoenix non-emergency hello 911 hang-up okay I've got officers already on the way things are in the bathroom anybody I'm not asking you to update are you expecting anybody ,High
0,1765 Oak Street Court of the Country for Old Men return to that number Corona Park Apartments apartment for rent Belleville Illinois ,High
0,911 Marsh emergency did he show the gun to you okay ma'am ma'am okay have you ever seen this man before where you at right now I'm on my way 143 time to Marine Road okay what is spam ,High
0,what is the address of an emergency news where okay is that the address where the lake is what Square ,High
0,"Hey, Lena, some firewood a bag of food emergency. work Oh my gosh. Hello. We're inside outside or midnight, okay, man, what I can't understand you. Matt, I just gave you was going on what a nice and pretty nice nice your phone in the house map. Okay, okay. ",High
0,hey I think it's please come out on the trail to call 911 young girl here who is mauled by bear in pretty bad shape so we need hermetic anybody okay where are you guys at your closest to Hilltop. On one second okay now that I've got kind of where you are I need to transfer you through to the Medics okay hold on ,High
0,"Guilford Metro number one what's the address of your emergency watch my drive what's your phone number play Come exactly what happened to me Batman tell me the name hun I got some help, okay now don't hang up okay are you with your husband now okay how old is the husband is he awake ",High
0,"Atlantic Mountain one emergency after 25296 I can help you. Yeah, hi. I'm on Daniel Street southeast. I'm at around 58 down. You single Street Southeast has been Adam Allison of a house in there is a woman inside, and we need someone to come you said 68 had to ask at the mouse. So the house is going to mouth order of the city code compliance offices Florida. Could you come out? There's a woman inside of the house. We need to come and ambulance immediately home on from the 2nd. Okay, you said she's trapped inside inside underneath the level of the house. ",High
0,the number one recording and I want to tell you need to stop screaming so I can hear you weather may I listen to me I need you to calm down so I can understand what's going on what's wrong with your boyfriend what is wrong with your boyfriend ,High
0,Ballston Animal Hospital in John Hospital shooting people telephone number that you're calling from how many shots is a lot or octopus Johns Hopkins in Baltimore Nelson wing ,High
0,911 emergency wife he's doing what Englishtown Road what's a red pictures of baby baby baby just now in the car ,High
0,March 18 2015 14 4133 Walmart nine-one-one address of your emergency I can't I can't understand the street by screen like the color what's the phone number you're calling me from hey what's up tell me what happened please I'm downstairs okay who got you your sister ,High
0,non-emergency what are you reporting what is a title on Leestown Road yeah what are the top and when did he go inside the trailer ,High
0,I'm on my bus place to climb square feet fire breathing Fire Department emergency location of emergency 193 Mockingbird Lane week old infant in the house not breathing hurry he is Melanie Campbell 6215 think your phone's on the way,High
0,So I don't want to know we need but to Lori about you out. So hey your phone now. I'm on 1 operated 35. What is the address of your emergency page or some emergencies on I live at 31 Grant street in itself is somebody house caucus that I'm not gonna Hammett Avenue as in Mary 1 great. Have a great afternoon Mr. Hartzog address. Fire department 25 hello by the phone how you doing can you send the fire department? ,High
0,"Yeah, this is an emergency operator. Yeah. Okay. Yeah, the break on where you are. You got me off your call. You put it later. We can try to get it got put it in neutral or anything like that. You can't drop the key where you at. Call me towards Paul, brother. Don't come and go to town. Okay, or white Honda. ",High
0,Recorded on January 1st 2011 at 10:57 on Channel 29. Okay. I told her to return my call phone. Anthony I'm a house. Where do you later? 47 Monroe Falls Avenue weather 4740 Falls ,High
0,"Hey, I want to let you police fire ambulance. Okay? Where you located across drive number. Apartment, and you said yeah. Okay, you're in lorain correct. Yeah, okay? What's going on there my friend does not work and looks like I don't even I don't know you're okay. You said it's still not. It's still bleeding. It's clean dry clossin press down on that okay, okay, and you said he's got the stomach pains. you have ",High
0,I want to plan my brother okay is anybody injured what kind of a breakdown call 921 have you done anything I don't know you anymore okay what's your brother's name is he downstairs right now okay so what made you call what did he do I woke up to my mom screaming cuz my brother has a nice and trying to cut himself and stuff okay ,High
0,snowman one way he was on the ground and bleeding on the Superman and the ground shot through bleeder bear okay and see why do black oh my God is good cargo oh my God okay who's winning on the grill okay but he's at Sharky's on Wayside ,High
0,I want to murder somebody songs of little girls on the phone I want you to shut up I don't know she said as a coffee filter Paw Patrol hurricanes in Hawaii okay what is your last name again what is your address if you were at ,High
0,"Saturday may 31st 2014 the time 10:31 I wanted to give you a quick fire rescue. I think I was trying to break into my home. Hey, I'm just off of just off of 56th Avenue. He broke a window and I'm home around 9:14. Take the window, but I don't know what he can do next. I don't know stranger. Acting up. I think I saw on 14, and I'm alone. Picture windows 8301 in the back already tried to opening the door. I actually met you when I heard them. anywhere Just a single male black tank top. That's all I can really get four right about now at the toward the description any tried. ",High
